Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
-0.159028, 0, 0, 0, 0, 0.125
0, 0, 0, 0, 0, 0.125
0, 0, 0, 0, 0, 0.125
0, 0, 0, 0, 0, 0.125
0, 0, 0, 0, 0, 0.125
0, 0, 0, 0, 0, 0.125
0, 0, 0, 0, 0, 0.125
0, 1, 0, 0, 0, 0.125
0, 1, 0, 0, 0, 0.125
0, 1, 0, 0, 0.0363636, 0.125
0, 1, 3, 0, 0.121212, 0.25
0, 1, 4, 0, 0.169697, 0.25
0, 1, 8, 0, 0.266667, 0.25
0, 1, 13, 0, 0.375758, 0.25
0, 1, 20, 0, 0.545455, 0.25
0, 1, 35, 0, 0.824242, 0.25
0, 1, 41, 0, 0.941642, 0.5
0, 1, 55, 0, 1.19516, 0.5
0, 1, 72, 0, 1.4849, 0.625
0.00138889, 1, 89, 0, 1.76256, 0.75
0.00694444, 1, 101, 0.416667, 1.96779, 1
0.0180556, 1, 119, 2.91667, 2.29374, 1.375
0.0354167, 1, 120, 7.91667, 2.38514, 1.5
0.0569444, 1, 117, 16.25, 2.44477, 1.5
0.0805556, 1, 114, 27.0833, 2.54018, 1.5
0.10625, 1, 109, 39.5833, 2.62366, 1.5
0.136111, 1, 122, 52.0833, 2.93372, 1.625
0.169444, 1, 116, 63.75, 2.94565, 1.75
0.20625, 1, 104, 74.1667, 2.9217, 1.75
0.245139, 1, 91, 84.1667, 2.9217, 1.625
0.283333, 1, 79, 92.9167, 2.88607, 1.5
0.323611, 1, 67, 101.25, 2.85044, 1.5
0.364583, 1, 83, 108.333, 3.08798, 1.5
0.406944, 1, 76, 113.75, 3.05235, 1.5
0.45, 1, 64, 117.917, 2.99335, 1.5
0.492361, 1, 54, 121.25, 2.95758, 1.375
0.536111, 1, 41, 123.75, 2.82639, 1.375
0.579167, 1, 60, 125.833, 3.00528, 1.25
0.620139, 1, 56, 127.5, 2.9695, 1.25
0.661806, 1, 48, 127.917, 2.89795, 1
0.702778, 1, 40, 127.5, 2.82639, 1
0.743056, 1, 34, 126.25, 2.76676, 1
0.78125, 1, 31, 125, 2.74291, 1.25
0.819444, 1, 57, 122.917, 2.9695, 1.25
0.857639, 1, 55, 120.417, 2.95758, 1.5
0.896528, 1, 51, 118.333, 2.9218, 1.5
0.934722, 1, 47, 117.083, 2.87419, 1.5
0.974306, 1, 42, 115.833, 2.85044, 1.5
1.01458, 1, 63, 115.833, 3.01672, 1.5
1.05625, 1, 59, 116.25, 2.98109, 1.5
1.09792, 1, 50, 117.917, 2.89795, 1.375
1.13958, 1, 41, 119.583, 2.81481, 1.25
1.18125, 1, 33, 121.667, 2.75484, 1.25
1.22292, 1, 25, 122.917, 2.70714, 1.25
1.2625, 1, 48, 124.167, 2.89795, 1
1.30278, 1, 45, 123.75, 2.86217, 1.25
1.34306, 1, 38, 123.333, 2.80254, 1.25
1.38403, 1, 30, 122.5, 2.73099, 1.25
1.425, 1, 24, 121.667, 2.68328, 1.25
1.46389, 1, 47, 121.25, 2.88602, 1.25
1.50347, 1, 45, 120.833, 2.86217, 1.25
1.54444, 1, 37, 120.417, 2.79062, 1.25
1.58403, 1, 32, 120.417, 2.75484, 1
1.62292, 1, 27, 120, 2.70714, 1
1.6625, 1, 22, 119.583, 2.65943, 1
1.70069, 1, 47, 119.167, 2.88602, 1.25
1.73958, 1, 44, 118.75, 2.86217, 1.25
1.77708, 1, 44, 117.5, 2.88602, 1.25
1.81458, 1, 41, 116.25, 2.82639, 1.375
1.85278, 1, 39, 115, 2.81447, 1.5
1.89097, 1, 64, 114.167, 3.02859, 1.5
1.92847, 1, 62, 113.75, 3.00484, 1.5
1.96736, 1, 59, 113.75, 2.98109, 1.625
2.00833, 1, 51, 114.167, 2.90982, 1.5
2.05069, 1, 41, 115.417, 2.81481, 1.5
2.09236, 1, 33, 117.083, 2.7673, 1.375
2.13264, 1, 54, 119.167, 2.93358, 1.375
2.17431, 1, 50, 121.25, 2.89795, 1.375
2.21528, 1, 42, 122.5, 2.82669, 1.375
2.25625, 1, 35, 123.333, 2.7673, 1.25
2.29583, 1, 29, 123.333, 2.70792, 1.25
2.33611, 1, 52, 122.917, 2.9217, 1.25
2.37639, 1, 49, 122.083, 2.88607, 1.375
2.41667, 1, 42, 121.667, 2.82669, 1.25
2.45556, 1, 37, 120.833, 2.77918, 1.25
2.49514, 1, 31, 120, 2.73167, 1.25
2.53611, 1, 25, 119.583, 2.67229, 1.25
2.57639, 1, 47, 119.583, 2.87419, 1.25
2.61528, 1, 45, 119.583, 2.87419, 1.25
2.65486, 1, 40, 119.583, 2.81481, 1.25
2.69514, 1, 33, 119.583, 2.74355, 1.25
2.73542, 1, 27, 119.583, 2.66041, 1.25
2.77292, 1, 54, 119.167, 2.93358, 1.25
2.81042, 1, 54, 118.333, 2.95733, 1.375
2.84931, 1, 49, 117.5, 2.88607, 1.375
2.88819, 1, 44, 116.667, 2.85044, 1.5
2.92778, 1, 41, 115.833, 2.83856, 1.375
2.96597, 1, 36, 115.417, 2.77918, 1.5
3.00556, 1, 59, 115.417, 2.98109, 1.375
3.04722, 1, 55, 116.25, 2.94545, 1.5
3.08889, 1, 45, 117.5, 2.85044, 1.375
3.12986, 1, 37, 119.167, 2.77918, 1.25
3.17083, 1, 29, 120.417, 2.67229, 1.25
3.21111, 1, 52, 121.667, 2.9217, 1.25
3.25139, 1, 49, 122.5, 2.88607, 1.25
3.29028, 1, 44, 122.5, 2.87419, 1.25
3.33056, 1, 38, 121.667, 2.79106, 1.25
3.37083, 1, 31, 120.833, 2.73167, 1.375
3.41181, 1, 24, 120.417, 2.67229, 1.25
3.45069, 1, 47, 120, 2.83856, 1.25
3.49097, 1, 45, 120, 2.85044, 1.25
3.53264, 1, 36, 120, 2.77918, 1.25
3.57361, 1, 28, 120.417, 2.70792, 1
3.61389, 1, 23, 120.833, 2.66041, 1
3.65278, 1, 47, 121.25, 2.87419, 1
3.69236, 1, 45, 120.833, 2.87419, 1.25
3.73125, 1, 40, 120.417, 2.81481, 1.25
3.76944, 1, 35, 119.583, 2.7673, 1.375
3.80764, 1, 34, 118.333, 2.77918, 1.375
3.84514, 1, 31, 116.667, 2.73167, 1.375
3.88264, 1, 59, 115.833, 2.95733, 1.5
3.92153, 1, 55, 115, 2.94545, 1.5
3.95972, 1, 51, 114.167, 2.90982, 1.5
3.99931, 1, 46, 114.167, 2.86232, 1.5
4.04028, 1, 38, 114.583, 2.77957, 1.5
4.08194, 1, 58, 115.833, 2.95699, 1.375
4.12292, 1, 55, 117.917, 2.93333, 1.25
4.16389, 1, 47, 119.583, 2.86237, 1.375
