Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
0.416667, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, -0.036217, 0
0, 1, -2, 0, -0.0845064, 0
0, 1, -3, 0, -0.120723, 0
0, 1, -6, 0, -0.20523, 0
0, 1, -13, 0, -0.374242, 0
0, 1, -20, 0, -0.543255, 0
0, 1, -29, 0, -0.712268, 0
0, 1, -41, 0, -0.941642, 0
0, 1, -48, 0, -1.07444, 0
0, 1, -71, 0, -1.47283, 0
-0.00486111, 1, -82, -0.416667, -1.67805, 0.25
-0.0166667, 1, -85, -2.08333, -1.84707, 0.375
-0.0326389, 1, -83, -7.08333, -1.90743, 0.625
-0.0520833, 1, -81, -14.5833, -1.92004, 0.625
-0.0729167, 1, -78, -25, -2.02737, 0.375
-0.0958333, 1, -91, -36.25, -2.33744, 0.625
-0.122917, 1, -85, -47.5, -2.44477, 0.625
-0.153472, 1, -74, -57.9167, -2.42092, 0.875
-0.186806, 1, -63, -67.0833, -2.46862, 0.875
-0.222917, 1, -57, -75.8333, -2.44663, 0.875
-0.259722, 1, -70, -84.5833, -2.73167, 0.625
-0.297917, 1, -59, -92.9167, -2.70792, 0.625
-0.338194, 1, -46, -100.417, -2.66041, 0.625
-0.379861, 1, -34, -107.083, -2.62478, 0.625
-0.422222, 1, -21, -112.5, -2.55352, 0.625
-0.465278, 1, -14, -117.083, -2.51789, 0.375
-0.507639, 1, -32, -120.833, -2.73167, 0.375
-0.55, 1, -22, -123.75, -2.64853, 0.375
-0.592361, 1, -12, -125.833, -2.5654, 0.375
-0.634028, 1, -8, -126.667, -2.48226, 0.375
-0.676389, 1, 2, -127.083, -2.44663, 0.375
-0.717361, 1, -19, -126.667, -2.62478, 0.375
-0.757639, 1, -13, -126.25, -2.58915, 0.375
-0.797222, 1, -8, -125, -2.52977, 0.375
-0.836111, 1, -5, -123.75, -2.48226, 0.375
-0.875694, 1, 0, -122.083, -2.4585, 0.375
-0.914583, 1, 4, -120.417, -2.42287, 0.375
-0.954167, 1, -20, -119.167, -2.63666, 0.375
-0.992361, 1, -15, -117.917, -2.58915, 0.375
-1.03264, 1, -9, -117.5, -2.52977, 0.375
-1.07292, 1, -6, -117.5, -2.49413, 0.375
-1.11319, 1, 1, -117.917, -2.4585, 0.375
-1.15417, 1, -21, -118.333, -2.66041, 0.375
-1.19514, 1, -13, -119.167, -2.5654, 0.375
-1.23681, 1, -4, -120.417, -2.49413, 0.375
-1.27847, 1, 4, -121.667, -2.42287, 0.375
-1.31944, 1, 8, -122.5, -2.38724, 0.375
-1.36042, 1, 16, -123.333, -2.31598, 0.375
-1.40139, 1, -5, -123.75, -2.51789, 0.375
-1.44236, 1, 2, -123.75, -2.48055, 0.375
-1.48264, 1, 8, -123.333, -2.39707, 0.25
-1.52292, 1, 12, -122.917, -2.34936, 0.375
-1.5625, 1, 17, -122.083, -2.32551, 0.375
-1.60069, 1, -8, -121.25, -2.54018, 0.375
-1.63889, 1, -4, -120, -2.5044, 0.375
-1.67778, 1, 0, -118.75, -2.4585, 0.375
-1.71667, 1, 4, -117.5, -2.42287, 0.375
-1.75625, 1, 9, -116.667, -2.38724, 0.375
-1.79514, 1, 11, -116.25, -2.38724, 0.375
-1.83333, 1, -13, -116.25, -2.5654, 0.375
-1.87292, 1, -9, -116.25, -2.52977, 0.375
-1.9125, 1, -3, -116.667, -2.48226, 0.375
-1.95208, 1, 0, -117.083, -2.43475, 0.375
-1.99097, 1, 4, -117.083, -2.44663, 0.375
-2.03125, 1, -18, -117.5, -2.6129, 0.375
-2.07083, 1, -13, -117.917, -2.5654, 0.375
-2.10972, 1, -8, -118.333, -2.52977, 0.375
-2.14931, 1, -3, -118.333, -2.48226, 0.375
-2.18958, 1, 1, -117.917, -2.4585, 0.375
-2.23056, 1, 8, -118.333, -2.38724, 0.375
-2.27083, 1, -14, -118.75, -2.57727, 0.375
-2.31181, 1, -7, -119.583, -2.51789, 0.375
-2.35278, 1, 2, -120.417, -2.411, 0.375
