Time,Position,Error,Speed,Voltage
0.014372,0,0,0,0,
0.041635,0,0,0,0,
0.057668,0,0,0,0,
0.077483,0,0,0,0,
0.097704,0,0,0,0,
0.11825,0,0,0,0,
0.154483,0,0,0,0,
0.181972,0,0,0,0.0369501,
0.19745,0,2,0,0.11085,
0.217349,0,4,0,0.209384,
0.237747,0,8,0,0.344868,
0.278552,0,20,0,0.739003,
0.313128,0,41,0,1.34252,
0.337833,0,55,0,1.7175,
0.357815,0,69,0,2.11007,
0.37803,0.00625,70,0,2.26955,
0.411467,0.0215278,105,5.83333,3.1651,
0.440275,0.0451389,114,15.8333,3.58221,
0.458266,0.0451389,120,15.8333,3.59868,
0.47845,0.0631944,119,30,3.6937,
0.49782,0.0868056,115,30,3.75308,
0.517871,0.113194,112,38.3333,3.77683,
0.550438,0.178472,113,60,4.08563,
0.579161,0.257639,96,84.5833,3.88372,
0.622235,0.345139,60,106.25,3.40865,
0.638025,0.345139,78,106.25,3.80059,
0.658944,0.391667,57,115.417,3.46804,
0.689176,0.488889,24,130,2.86114,
0.715727,0.5375,5,135.417,2.65591,
0.738259,0.585417,-12,139.583,2.72835,
0.758567,0.631944,1,143.333,2.59555,
0.778463,0.677778,-14,142.917,2.32996,
0.807575,0.76875,-36,141.25,1.93157,
0.835704,0.813889,-56,137.917,1.58847,
0.853978,0.858333,-35,137.917,1.97947,
0.879872,0.936111,-37,133.75,1.94282,
0.898184,0.936111,-40,133.75,1.88172,
0.917277,0.975694,-47,130.417,1.75953,
0.946565,1.05486,-53,122.917,1.64956,
0.976462,1.09236,-26,117.5,2.1261,
0.991935,1.12917,-27,117.5,2.1261,
1.00284,1.16597,-27,115.833,2.1261,
1.01768,1.16597,-28,115.833,2.10166,
1.03677,1.20208,-24,114.583,2.17498,
1.07353,1.26944,11,110,2.81036,
1.10363,1.33611,16,105,2.90811,
1.12051,1.37986,10,104.167,2.79814,
1.13757,1.37986,6,104.167,2.72483,
1.1584,1.41597,6,106.25,2.72483,
1.17759,1.45208,6,106.25,2.70303,
1.20754,1.52778,31,110.833,3.15152,
1.23398,1.56667,22,112.083,2.99394,
1.25325,1.60694,18,112.917,2.92121,
1.26378,1.64722,15,114.167,2.86061,
1.27826,1.64722,8,114.167,2.73939,
1.29794,1.68819,33,115.417,3.18788,
1.31749,1.72986,23,117.917,3.00606,
1.35749,1.81528,3,123.75,2.64242,
1.38147,1.89792,-4,124.583,2.52121,
1.39822,1.89792,-9,124.583,2.88485,
1.41841,1.93958,11,125.417,2.79912,
1.438,1.98194,2,125.417,2.64091,
1.46043,2.02431,-4,125.417,2.45836,
1.49338,2.10625,-17,125,2.22713,
1.51565,2.14514,6,124.583,2.71393,
1.539,2.22431,1,122.5,2.61657,
1.55849,2.22431,-5,120.833,2.51921,
1.57778,2.26319,-8,120.833,2.45836,
1.61368,2.34167,-15,118.333,2.33666,
1.64698,2.41944,6,117.5,2.71393,
1.65777,2.41944,3,117.5,2.65308,
1.6774,2.45903,-1,117.083,2.59223,
1.69855,2.49792,-6,117.083,2.49487,
1.71733,2.53681,-7,117.083,2.44619,
1.74406,2.61319,17,116.667,2.90865,
1.7786,2.65208,11,115.833,2.78788,
1.79766,2.69097,7,115.833,2.71515,
1.81825,2.72917,2,115.417,2.6303,
1.83831,2.76806,0,115.417,3.06667,
1.86661,2.84653,21,115.833,2.9697,
1.8992,2.92639,13,116.667,2.82424,
1.91838,2.92639,7,117.5,2.71515,
1.93821,2.96597,0,117.5,2.59394,
1.95919,3.04722,22,119.167,2.99394,
1.97808,3.04722,19,119.167,2.93333,
2.00725,3.12847,9,120.417,2.75152,
2.04472,3.21042,-4,121.25,2.52121,
2.0581,3.21042,-7,121.25,2.92121,
2.07885,3.29167,15,121.667,2.86061,
2.09845,3.29167,6,122.083,2.70303,
2.11865,3.33264,-1,122.083,2.58182,
2.14786,3.41458,-12,122.5,2.38534,
2.18528,3.49514,7,122.5,2.7261,
2.19674,3.49514,5,122.5,2.68959,
2.21868,3.53542,-2,121.667,2.56789,
2.23772,3.575,-8,121.667,2.45836,
2.27037,3.65278,-14,120,2.33939,
2.30736,3.72986,11,117.917,2.78788,
2.32268,3.76806,9,117.083,2.71515,
2.33759,3.76806,4,117.083,2.66667,
2.35708,3.80764,-1,116.25,2.58182,
2.37729,3.84653,-3,115.833,2.48485,
2.40697,3.92569,17,116.25,2.89697,
2.43495,3.96528,9,117.5,2.75152,
2.45289,4.00556,6,117.5,2.70303,
2.47694,4.04514,-4,118.333,2.52121,
2.49712,4.08611,-7,118.75,2.47273,
2.51765,4.12569,17,119.167,2.89697,
2.56483,4.24653,0,120,2.59394,
2.58078,4.28681,-4,120.417,2.52121,
2.59744,4.28681,-7,120.417,2.41212,
2.61748,4.32708,15,120.417,2.86061,
2.63736,4.36736,8,120.417,2.73939,
2.67772,4.44931,-6,121.25,2.48485,
2.7082,4.52986,-16,121.25,2.30303,
2.71823,4.52986,-16,121.25,2.78788,
2.73848,4.56944,8,120.833,2.73939,
2.758,4.60903,2,120.833,2.6303,
2.77819,4.64792,-3,120.417,2.54545,
2.81325,4.72639,-9,118.75,2.41212,
2.84812,4.80417,13,117.5,2.82424,
2.85892,4.84375,11,117.083,2.78788,
2.87689,4.84375,5,117.083,2.67879,
2.89681,4.88333,0,117.083,2.59394,
2.91698,4.92292,-3,117.083,2.48485,
2.94796,5.00069,19,117.917,2.88485,
2.98315,5.08056,8,117.917,2.73939,
2.99947,5.12014,5,118.333,2.67879,
3.01701,5.12014,0,118.333,2.59394,
3.03727,5.15903,-3,117.917,2.54545,
3.07325,5.23889,14,118.333,2.84848,
3.10758,5.31875,5,118.75,2.67879,
3.11771,5.31875,0,118.75,2.59394,
3.13719,5.36042,-7,119.167,2.47273,
3.15782,5.40139,-11,120,2.4,
3.202,5.52361,3,122.083,2.58182,
3.23927,5.60417,-11,122.5,2.40968,
3.25378,5.60417,-13,122.5,2.37317,
3.27797,5.64306,12,121.667,2.82346,
3.29758,5.68194,7,120.833,2.7261,
3.31715,5.72153,1,120,2.61657,
3.34725,5.80208,-8,118.333,2.44848,
3.38374,5.87986,14,118.333,2.84848,
3.39841,5.87986,12,118.333,2.81212,
3.41776,5.91875,6,118.333,2.70303,
3.43955,5.99861,1,118.333,2.60606,
3.45768,5.99861,-2,118.333,2.55758,
3.48754,6.07708,-9,118.333,2.89697,
3.51703,6.11667,11,118.333,2.78788,
3.5384,6.15556,7,118.333,2.71515,
3.55858,6.19514,1,117.917,2.60606,
3.57818,6.23472,-4,117.917,2.52121,
3.60733,6.31319,20,117.917,2.95758,
3.64113,6.39444,6,118.333,2.70303,
3.65437,6.39444,2,118.333,2.6303,
3.67772,6.43472,-4,118.75,2.52121,
3.69822,6.47569,-11,119.583,2.4,
3.7165,6.51597,15,120.417,2.86061,
3.75657,6.63542,3,120.833,2.64242,
3.77904,6.675,-3,120,2.54545,
3.79786,6.675,-9,120,2.43636,
3.83818,6.75417,13,119.167,2.82424,
3.87639,6.83333,3,118.75,2.64242,
3.90815,6.91181,-5,118.333,2.50909,
3.91876,6.91181,-8,118.333,2.44848,
3.93741,6.95139,19,118.333,2.93333,
3.95804,6.99167,11,117.917,2.78788,
3.97733,7.03194,5,118.333,2.67879,
4.00275,7.11111,-1,119.167,2.58182,
4.02437,7.15069,-9,119.167,2.43636,
4.05016,7.19028,14,119.167,2.84848,
4.06024,7.23056,14,119.167,2.84848,
4.07738,7.23056,8,119.167,2.73939,
4.09684,7.27083,2,119.167,2.6303,
4.11667,7.31111,-5,119.167,2.50909,
4.14506,7.39167,-11,120,2.4,
4.17845,7.43194,6,120.417,2.70303,
4.1977,7.47292,-2,120.417,2.55758,
4.21728,7.51389,-7,120.833,2.47273,
4.23668,7.55417,-11,121.25,2.36364,
4.2737,7.63264,9,121.25,2.75152,
4.31623,7.71181,-2,119.583,2.55758,
4.33686,7.75139,-8,118.75,2.44848,
4.35691,7.79028,-10,118.333,2.41212,
4.37695,7.82917,15,117.917,2.86061,
4.40344,7.90903,5,117.917,2.67879,
4.43414,7.94722,-1,117.917,2.58182,
4.45024,7.98611,-3,117.917,2.54545,
4.4606,8.02639,-7,117.917,2.47273,
4.48095,8.06597,17,117.917,2.89697,
4.49657,8.06597,15,117.917,2.86061,
4.51722,8.10486,10,117.917,2.77576,
4.54369,8.18264,7,117.5,2.67879,
4.58106,8.26111,-3,117.083,2.54545,
4.59665,8.26111,24,117.083,3.0303,
4.6168,8.29931,20,116.667,2.95758,
4.63738,8.33889,13,116.667,2.82424,
4.67211,8.42014,2,117.5,2.6303,
4.70654,8.50208,20,119.583,2.88485,
4.7204,8.54167,17,120.417,2.88485,
4.73713,8.54167,9,120.417,2.70303,
4.75698,8.58264,2,121.25,2.54545,
4.77697,8.62222,-8,121.667,2.31515,
4.80274,8.70069,-14,120.833,2.14545,
4.83241,8.73819,-2,119.583,2.18182,
4.84837,8.775,-5,118.333,2.09697,
4.85753,8.775,-11,118.333,1.92727,
4.87784,8.81181,-22,116.667,1.61212,
4.89781,8.84722,-35,114.583,1.27077,
4.91715,8.88194,-42,112.083,1.06305,
4.94755,8.94792,-44,107.917,0.769795,
4.97457,8.97153,-56,104.167,0.342131,
4.98577,8.99931,-63,99.5833,0.158847,
4.99811,8.99931,-72,99.5833,-0.0733138,
5.01904,9.05347,-88,89.5833,-0.500978,
5.03825,9.05347,-83,89.5833,-0.537634,
5.05967,9.07361,-91,84.5833,-0.818671,
5.09369,9.10694,-105,67.5,-1.33187,
5.11393,9.11736,-106,67.5,-1.4174,
5.13755,9.12431,-105,59.1667,-1.49692,
5.15722,9.12847,-97,48.75,-1.48475,
5.17677,9.12917,-92,38.3333,-1.48475,
5.21081,9.12639,-82,18.75,-1.38739,
5.23581,9.12292,-74,10,-1.29003,
5.25735,9.11806,-63,2.91667,-1.13182,
5.27732,9.11181,-53,-2.5,-0.961437,
5.29696,9.10556,-45,-7.5,-0.815396,
0.004531,0.814583,-39,0,0,
0.03164,-0.000694444,13063,0,0,
0.067987,-0.000694444,13063,0,0,
0.081739,-0.000694444,13063,0,0,
0.100775,-0.000694444,13063,-0.416667,0,
0.121689,0,13063,0,0,
0.142013,0,0,0,0,
0.168167,0,0,0,0.0246334,
0.206264,0,2,0.416667,0.11085,
0.22146,0,3,0,0.270968,
0.241452,0,8,0,0.344868,
0.261412,0,13,0,0.504985,
0.304712,0,29,0,1.15777,
0.337554,0,55,0,1.72434,
0.362022,0.000694444,70,0,2.10616,
