Time,Position,Error,Speed,Voltage
0.009634,0.343056,2,0,0,
0.027388,0,2,0,0,
0.059128,0,2,0,0,
0.082904,0,2,0,0,
0.112972,0,2,0,0,
0.143294,0,0,0,0,
0.172352,0,0,0,0.36217,
0.213651,0,16,0,1.24345,
0.230544,0.00208333,30,0,1.99194,
0.247398,0.00208333,48,0,2.79062,
0.268623,0.00902778,60,0.833333,3.45846,
0.287467,0.0194444,68,3.33333,3.98319,
0.33262,0.0916667,67,29.1667,4.29326,
0.370185,0.172222,81,61.6667,4.8607,
0.383493,0.172222,72,61.6667,4.43182,
0.440821,0.329861,22,117.083,3.43109,
0.487635,0.442361,22,146.667,3.62933,
0.530252,0.611111,-9,166.667,2.54751,
0.591695,0.771528,-10,167.083,2.51261,
0.622048,0.825,-24,165,2.14663,
0.657733,0.925694,-38,159.583,1.64575,
0.707103,1.02431,-13,154.167,2.54018,
0.733926,1.11875,-16,149.583,2.44282,
0.792234,1.25556,20,142.5,3.66422,
0.828542,1.30208,10,139.167,3.30499,
0.846853,1.35556,11,139.167,3.35704,
0.890231,1.44722,2,141.667,2.96833,
0.90802,1.49583,36,141.667,4.24047,
0.941876,1.59722,22,144.167,3.74575,
0.97219,1.70208,6,147.917,3.09677,
0.983212,1.70208,0,147.917,2.88563,
1.03024,1.86042,14,155.417,3.13196,
1.04598,1.86042,1,155.417,2.9912,
1.0877,1.96597,-20,157.917,2.20909,
1.10667,2.01806,-25,158.333,2.03094,
1.14418,2.12083,-3,157.5,2.77918,
1.19017,2.26667,-13,152.083,2.52977,
1.20863,2.26667,-17,152.083,2.31598,
1.23806,2.36319,13,148.333,3.45616,
1.27454,2.46181,3,145.833,3.02859,
1.29797,2.50833,0,145.833,2.9217,
1.33859,2.60347,-5,144.583,2.72097,
1.38138,2.70556,15,144.583,3.49839,
1.41519,2.80833,-4,147.083,2.7563,
1.45928,2.91181,17,152.083,3.42771,
1.48173,2.96319,8,154.167,3.25103,
1.5142,3.06667,-11,155.417,2.50894,
1.55405,3.16806,-24,155,2.12023,
1.5739,3.21667,7,153.75,3.13548,
1.60385,3.26806,-2,152.917,2.9217,
1.62608,3.31875,-8,151.667,2.52977,
1.64813,3.36736,-14,150.833,2.35161,
1.66969,3.41597,16,149.167,3.56305,
1.6977,3.51111,13,148.333,3.45616,
1.73283,3.60903,5,146.25,3.17111,
1.75829,3.65972,-2,145.833,2.74355,
1.78063,3.70903,-8,145.833,3.77683,
1.80855,3.75833,17,146.25,3.56906,
1.83227,3.86319,6,148.75,3.10968,
1.84539,3.86319,1,148.75,2.93299,
1.86807,3.91458,-13,152.083,2.43827,
1.89324,4.01667,14,153.333,3.46305,
1.90825,4.01667,10,153.333,3.25103,
1.93589,4.11944,-3,154.167,2.87419,
1.9592,4.17014,-11,154.167,2.51935,
1.98074,4.21944,-17,153.333,2.37742,
